Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
5.85,76.0,0.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
5.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.05,115.38095238095238,11.083664513490973,75.0,75.0,116.0,116.0,116.0,144.0,144.0
6.15,148.6315789473684,2.752988806446741,148.0,148.0,148.0,148.0,148.0,160.0,160.0
6.25,187.52941176470588,1.9402850002906638,180.0,180.0,188.0,188.0,188.0,188.0,188.0
6.35,235.27777777777777,18.823657066560607,204.0,204.0,220.64,236.0,236.0,299.0,299.0
6.45,306.95454545454544,41.89383097298544,225.0,225.0,264.0,296.0,365.28,380.0,380.0
6.55,367.9178347027549,20.00548802725496,209.0,300.0,361.0,361.0,380.0,400.0,462.0
6.65,469.0763559768299,26.46752715837915,242.0,360.0,460.0,473.0,484.0,500.0,595.0
6.75,575.3544910179638,37.280197778250596,390.0,420.0,576.0,585.0,594.0,600.0,760.0
6.85,717.094240837696,55.48872242641403,435.0,498.375,696.4000000000001,736.0,744.0,750.0,765.0
6.95,900.8142532221375,86.7129265611931,525.0,570.0,924.0,931.0,940.0,961.0,1107.0
7.05,1128.0560997328591,120.92579399017409,615.0,676.5,1156.0,1175.0,1180.0,1189.0,1316.0
7.15,1427.3245412844033,148.88839992171134,750.0,896.7750000000002,1470.0,1476.0,1484.0,1488.0,1649.0
7.25,1824.4120443740092,163.37571300757813,870.0,1140.0,1850.0,1860.0,1872.0,1876.0,1988.0
7.35,2257.3150406504064,288.09359395374923,1155.0,1320.0,2340.0,2349.0,2352.0,2352.0,2538.0
7.45,2859.1549295774653,330.3155248932718,1600.0,1636.0,2940.0,2952.0,2960.0,2961.0,3082.0
7.55,3622.8796992481202,359.1158858020359,1960.0,1960.0,3708.0,3720.0,3724.0,3725.0,3726.0
7.65,4630.371727748691,183.76536251326186,3618.0,3859.2,4675.0,4680.0,4680.0,4683.0,4683.0
7.75,5795.356060606061,278.1313911200015,4250.0,4891.225,5880.0,5880.0,5880.0,5900.0,5900.0
7.85,7235.180722891566,507.8629579070572,4887.0,5614.2,7416.0,7416.0,7420.0,7425.0,7650.0
7.95,8979.309523809523,758.2267981732513,7038.0,7045.65,7836.64,9336.0,9336.0,9340.0,9340.0
8.05,10887.117647058823,1395.732508503731,8580.0,8580.0,8820.96,11760.0,11760.0,11760.0,11760.0
8.15,11004.5,1248.8925894567556,9878.0,9878.0,9899.72,10715.0,12954.72,13152.0,13152.0
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
