Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,79.538216,77.91231,3.7102993E-6,-4.4356194,-3.8850896,0.7343024
1641,6.662383,168.585,168.03554,3.7102993E-6,-5.0835366,-5.4884553,0.7435822
1643,7.6258764,0.34775522,0.34775522,3.7102993E-6,-0.8113975,-1.716243,0.7343024
1644,6.564144,157.14993,156.58612,3.7102993E-6,-4.944652,-5.6033854,0.7463475
1645,7.7002277,160.97174,160.97174,3.7102993E-6,-4.594194,-3.89408,0.7343024
1654,7.0308313,84.14204,84.14204,3.7102993E-6,-2.7326736,-4.2269454,0.7343024
1656,7.125139,205.11386,205.11386,3.7102993E-6,-5.2680793,-4.9142704,0.7343024
1657,7.3488355,101.27103,101.27103,3.7102993E-6,-3.4473052,-3.9710953,0.7343024
1660,7.079184,141.27124,141.27124,3.7102993E-6,-4.3155394,-4.6212344,0.7343024
1662,7.2717032,95.85624,95.85624,3.7102993E-6,-3.1562374,-4.024378,0.7343024
1663,6.7135425,138.69922,138.69922,3.7102993E-6,-4.1089306,-5.1849833,0.7421536
1664,7.0303206,176.21773,175.61186,3.7102993E-6,-3.811768,-4.906148,0.7343024
1667,6.693708,12.940569,9.383494,3.7102993E-6,-1.906062,-3.1097481,0.7427065
1673,6.96847,46.901352,46.901352,3.7102993E-6,-2.1077688,-3.818244,0.73515415
1674,7.01714,11.05184,6.8726444,3.7102993E-6,-1.6495553,-2.697147,0.7343024
1678,6.6400337,152.14713,152.14713,3.7102993E-6,-4.6327295,-5.421236,0.74420875
1679,6.5296416,141.71255,141.71255,3.7102993E-6,-4.3937263,-5.5580883,0.74732554
1680,6.6141233,205.11386,205.11386,3.7102993E-6,-5.1793737,-5.803328,0.744937
1682,7.8833947,11.380454,11.380454,3.7102993E-6,-1.0320221,-2.1619315,0.7343024
1683,7.0484567,114.38215,114.38215,3.7102993E-6,-4.795345,-4.4719815,0.7343024
1689,7.305626,212.47331,212.47331,3.7102993E-6,-2.7179701,-4.67844,0.7343024
1690,6.8504376,256.07944,256.07944,3.7102993E-6,-4.9045196,-5.6965613,0.73837006
1692,6.614577,136.72473,136.72473,3.7102993E-6,-5.5202856,-5.3567533,0.74492425
1695,7.0778155,98.254715,98.254715,3.7102993E-6,-2.7429895,-4.297951,0.7343024
1697,7.0398545,205.11386,205.11386,3.7102993E-6,-4.4383793,-5.045751,0.7343024
1699,7.6453605,195.61467,195.61467,3.7102993E-6,-3.9791868,-4.1255083,0.7343024
1701,7.103284,65.18023,65.18023,3.7102993E-6,-3.6940832,-3.9021947,0.7343024
1703,7.36948,175.63614,175.63614,3.7102993E-6,-3.504268,-4.408146,0.7343024
1704,7.2925577,172.8949,172.8949,3.7102993E-6,-4.0531435,-4.50239,0.7343024
1710,7.155558,160.97174,160.97174,3.7102993E-6,-4.2699275,-4.632788,0.7343024
1711,6.6541367,69.47685,68.47093,3.7102993E-6,-4.232807,-4.616548,0.74381316
1715,6.9563184,5.053275,5.053275,3.7102993E-6,-1.2119375,-2.3094332,0.7354832
1716,6.935866,219.48479,219.48479,3.7102993E-6,-4.864153,-5.2823257,0.73603815
1719,7.381381,87.54358,87.54358,3.7102993E-6,-2.2131543,-3.8174284,0.7343024
1721,7.300054,106.55546,106.55546,3.7102993E-6,-3.8891525,-4.0741143,0.7343024
1722,6.934677,169.45503,169.45503,3.7102993E-6,-3.854057,-5.0130925,0.73607045
1723,7.3644114,161.1487,160.93248,3.7102993E-6,-3.6726146,-4.338436,0.7343024
1727,6.525068,106.629776,106.629776,3.7102993E-6,-5.041757,-5.266902,0.7474554
1729,6.7490425,190.63678,190.15105,3.7102993E-6,-5.458833,-5.4539585,0.74116695
1730,6.8638473,67.56461,67.56461,3.7102993E-6,-1.6408752,-4.256327,0.73800254
1733,6.910798,13.947196,13.947196,3.7102993E-6,-0.8424186,-2.9437969,0.7367201
1737,7.4895644,46.43151,46.43151,3.7102993E-6,-2.4618626,-3.2452273,0.7343024
1738,7.052927,60.04549,60.04549,3.7102993E-6,-2.0754724,-3.917895,0.7343024
1739,7.010967,205.11386,205.11386,3.7102993E-6,-5.203951,-5.0908537,0.7343024
1741,7.7072687,15.848732,15.848732,3.7102993E-6,-0.90564024,-2.4227614,0.7343024
1742,6.6883893,18.812183,18.812183,3.7102993E-6,-2.3965766,-3.424305,0.74285495
1745,7.4220834,48.78111,47.016983,3.7102993E-6,-3.8689363,-3.3188848,0.7343024
1746,7.246689,77.65445,77.178375,3.7102993E-6,-3.822088,-3.8876297,0.7343024
1755,7.6725883,174.98486,174.98486,3.7102993E-6,-4.230936,-3.9964652,0.7343024
1760,7.2308145,116.73696,116.37886,3.7102993E-6,-4.541482,-4.2345996,0.7343024
1761,7.0818114,133.41716,131.99916,3.7102993E-6,-4.960539,-4.556644,0.7343024
1762,7.1751103,11.380454,11.380454,3.7102993E-6,-1.7557074,-2.5958858,0.7343024
1763,6.8808284,46.901352,46.901352,3.7102993E-6,-2.615863,-3.9226599,0.7375379
1764,6.6120887,205.11386,205.11386,3.7102993E-6,-5.700529,-5.807425,0.7449943
1765,6.7349815,95.85624,95.85624,3.7102993E-6,-4.2778788,-4.7806416,0.7415573
1773,6.5459867,126.95046,126.95046,3.7102993E-6,-4.3077292,-5.409193,0.74686176
1775,7.654381,0.34775522,0.34775522,3.7102993E-6,-1.1703789,-1.707685,0.7343024
1778,7.1184607,149.53926,149.53926,3.7102993E-6,-4.700852,-4.6175566,0.7343024
1779,7.5256453,25.81489,25.81489,3.7102993E-6,-1.9803725,-2.834947,0.7343024
1781,7.2440104,205.11386,205.11386,3.7102993E-6,-4.6120834,-4.735185,0.7343024
1782,7.3452578,101.27103,101.27103,3.7102993E-6,-2.7554889,-3.9755917,0.7343024
1783,7.068112,115.903366,115.50511,3.7102993E-6,-4.3233943,-4.4543786,0.7343024
1784,7.71335,145.87105,145.87105,3.7102993E-6,-2.603006,-3.8013177,0.7343024
1788,7.15205,96.48782,96.48782,3.7102993E-6,-3.112384,-4.184041,0.7343024
1789,6.862458,217.04457,216.88087,3.7102993E-6,-4.8272448,-5.3891335,0.73804057
1791,6.801984,80.77803,80.77803,3.7102993E-6,-3.2301545,-4.505026,0.7397027
1792,6.580851,174.98486,174.98486,3.7102993E-6,-5.26376,-5.6894207,0.7458752
1794,6.774109,36.062603,33.88359,3.7102993E-6,-3.197818,-3.842943,0.74047256
1796,7.4529796,57.892677,55.995285,3.7102993E-6,-3.7572036,-3.353884,0.7343024
1798,7.035862,95.56619,95.56619,3.7102993E-6,-4.3158693,-4.3302574,0.7343024
1799,6.557013,106.100525,106.100525,3.7102993E-6,-4.9623966,-5.2024646,0.7465493
1800,7.675045,160.97174,160.97174,3.7102993E-6,-4.4309483,-3.925984,0.7343024
1801,6.7476177,205.11386,205.11386,3.7102993E-6,-4.961797,-5.537698,0.74120647
1804,6.798581,11.380454,11.380454,3.7102993E-6,-1.6248348,-2.9034743,0.7397965
1805,6.6842012,80.07888,80.07888,3.7102993E-6,-3.0299652,-4.6985126,0.74297196
1808,6.6020274,76.00605,74.324356,3.7102993E-6,-2.607219,-4.7915387,0.7452777
1815,7.072921,166.68764,166.68764,3.7102993E-6,-4.547094,-4.7874746,0.7343024
1821,6.627855,205.11386,205.11386,3.7102993E-6,-5.6067533,-5.7757225,0.74455076
1824,6.951329,209.4379,209.4379,3.7102993E-6,-5.2623734,-5.207081,0.7356185
1828,7.010625,44.250565,42.778004,3.7102993E-6,-2.5967505,-3.7224898,0.7343024
1829,7.050134,104.07072,104.07072,3.7102993E-6,-3.6121268,-4.385639,0.7343024
1834,6.527376,106.100525,106.100525,3.7102993E-6,-3.9945195,-5.257484,0.74738985
1837,6.622507,205.11386,205.11386,3.7102993E-6,-5.3791304,-5.786466,0.74470115
1838,7.06017,158.8897,157.9341,3.7102993E-6,-4.822268,-4.7581615,0.7343024
1842,7.8805203,20.486881,20.486881,3.7102993E-6,-2.4024904,-2.445524,0.7343024
1845,7.174379,91.4883,91.4883,3.7102993E-6,-1.8832723,-4.110601,0.7343024
1846,7.33865,101.27103,101.27103,3.7102993E-6,-2.1367614,-3.983907,0.7343024
1857,6.8865495,141.27124,141.27124,3.7102993E-6,-5.003678,-4.905076,0.7373816
1858,6.975784,42.096848,40.24503,3.7102993E-6,-3.8395007,-3.7225163,0.73495626
